Reviewer,Rating,Review,Reviewer_page,Review_time
Tracy Merrill,4 stars,It's a bit overpriced. Actually it's pretty expensive but the cakes were amazing. They look dry on the photos but they are extremely moist and delicious. The coffee was great.,https://www.google.com/maps/contrib/101023451844203577116/reviews?hl=en,a year ago
ipsita sahin,4 stars,"My expection was a jiggly fluffy cheesecake, which it wasn't.  We also tasted their espresso tart, the filling was over-frozen.",https://www.google.com/maps/contrib/110572904349739923192/reviews?hl=en,10 months ago
Rhea Dearing,2 stars,"Food is good but the line and waiting for ur order is 1 1/2hrs, 30 minutes in line to order and 1 hr waiting to get ur food 😔 but all the stuff is good and calm they manage to smile even some costumer left and disappointed",https://www.google.com/maps/contrib/108064902241015512404/reviews?hl=en,7 months ago
Zahir inc Max,1 star,"These guys are horrible .
The employees has no urgency , there is a line at this moment , my wife and I been waiting for 44 min while one employee is talking to her boyfriend and another is texting  someone . I would not recommend this place to the individuals who values their time",https://www.google.com/maps/contrib/104251031984356037141/reviews?hl=en,6 months ago
Justin Bradfield,5 stars,"Wow, the photos from the international website looked good but actually tasting the cheesecake is unreal. Will definitely come back and give the rest of the coffee options a try as well. Definitely worth stopping in to grab a sample.",https://www.google.com/maps/contrib/114948285263900317623/reviews?hl=en,2 years ago
Daniel Kong,5 stars,"After a small issue, the owner responded and made the situation right. This is a family operated business and the cakes are delicious. Give them a try.",https://www.google.com/maps/contrib/102644872633408987803/reviews?hl=en,10 months ago
Luis Azucena,5 stars,It was worth the wait for the 2 large cheese cakes I got excellent flavor definitely will be back for more Good Job,https://www.google.com/maps/contrib/115903543128703619977/reviews?hl=en,9 months ago
Rafael Zavala,4 stars,Awesome Japanese cheesecake. Must try them,https://www.google.com/maps/contrib/106033679887655527092/reviews?hl=en,10 months ago
Richard Hermosillo,5 stars,I would recommend trying one of these fluffy cheesecakes they are delicious. Don't jugde them by the samples they are kinda dry but the ones they give you after ordering are clearly more fresh and a bit creamy tastes way better with a syrup don't get it without syrup.,https://www.google.com/maps/contrib/105106077079970477884/reviews?hl=en,a year ago
Marlene Rico,5 stars,This place is so good. My family and I have been wanting to try Japanese cheesecake and it is amazing. So fluffy it melts in your mouth. Love it !,https://www.google.com/maps/contrib/110374863284186297548/reviews?hl=en,a year ago
Anthony Rodriguez,5 stars,"I rarely leave reviews but l, I just gotta say this place is BOMB !! I love their variety of sauces , they taste really good .cheesecake is like perfect. Will be back again .",https://www.google.com/maps/contrib/104359915007795193343/reviews?hl=en,a year ago
Surjatapa Chakrabortty,5 stars,Friendly service and delicious tarts and the cashier even jiggled the fluffy cheesecake for my little brother. He was so excited. Will definitely be back.,https://www.google.com/maps/contrib/105798877398284028634/reviews?hl=en,a year ago
Peter Evangelista,5 stars,Great place to bring the family for a light snack and a filling tart and many more..,https://www.google.com/maps/contrib/118237540310970257994/reviews?hl=en,6 months ago
mary kuo,5 stars,This Japanese cheese cake is not too sweet .It just melt into your mouth .very yummy . make it fresh daily . It is from Dubai to Riverside California now .,https://www.google.com/maps/contrib/117990632963421990152/reviews?hl=en,a year ago
Mike Strickland,1 star,"Disappointed  the large Cheescake which by the way is not very large was $27.00 which I think is high for how small it is, and the cheesecake itself is not very flavourful at all not impressed",https://www.google.com/maps/contrib/108223163164838210599/reviews?hl=en,7 months ago
Michael Avila,1 star,Disappointed in the whole experience...Substandard service serving Substandard cheesecake...But what to expect from a Middle Eastern take on Japanese desserts,https://www.google.com/maps/contrib/116847841716431451238/reviews?hl=en,8 months ago
Rosa Ceribo,5 stars,They make awesome cakes!,https://www.google.com/maps/contrib/100940332827171423007/reviews?hl=en,3 months ago
Maria Guadalupe,1 star,"The food is not great compared to the price. Owner/manager is ruuuude!!!
I would NOT recommend.
I will NOT be back.",https://www.google.com/maps/contrib/112951054576505574101/reviews?hl=en,8 months ago
Nefertari Vargas,1 star,Honestly I've never been here so can't comment on the food but I was interested in going till I looked up the place and saw Paul Jay's review and the owners response that alone maybe me never want to go here or recommend it to anyone,https://www.google.com/maps/contrib/102646018295447690104/reviews?hl=en,10 months ago
